ÎÄ¼şÃû,Ê§ÕæÀàĞÍ
13a4382b-8090-491c-86ed-9d77c6b76705-soConvert.wav,ÓïÒôÖØµş
17ac48b2-9cc1-4e82-b296-c384c994528d-soConvert.wav,ÓïÒôÖØµş
25ee36a6-d776-4805-85bd-d743c15db1a3-soConvert.wav,ÓïÒôÖØµş
27f8f58e-91dd-406f-bab0-a6390aff05db-soConvert.wav,ÓïÒôÖØµş
36a2668f-f38a-4990-b33a-f86cb7b7daa3-soConvert.wav,ÓïÒôÖØµş
00174.wav,ÔëÉù
00175.wav,»ìÏì | ÔëÉù
00176.wav,ÔëÉù
00202.wav,ÔëÉù
00160.wav,ÔëÉù
00215.wav,ÔëÉù
00216.wav,ÔëÉù
00217.wav,ÔëÉù
00214.wav,ÔëÉù
human(9).wav,»ìÏì 
human(10).wav,»ìÏì 
human(11).wav,»ìÏì 
human(12).wav,»ìÏì 
human(13).wav,»ìÏì 
